"participant","trial_num","consistency","matching","key_resp_3.corr","key_resp_3.rt","stage"
"ap01","1","i","match",1,0.8092633,"adapt"
"ap01","2","i","match",1,0.6776223,"adapt"
"ap01","3","c","match",1,0.825733,"adapt"
"ap01","4","c","match",1,0.5265454,"adapt"
"ap01","5","i","mismatch",1,0.6615215,"adapt"
"ap01","6","i","match",1,0.5244704,"adapt"
"ap01","7","c","match",1,1.0297599,"adapt"
"ap01","8","filler","mismatch",1,0.3774555,"adapt"
"ap01","9","c","mismatch",1,0.7983839,"adapt"
"ap01","10","c","match",1,0.6625284,"adapt"
"ap01","11","i","match",1,0.6829048,"adapt"
"ap01","12","c","mismatch",1,0.5426689,"adapt"
"ap01","13","i","mismatch",1,0.7807472,"adapt"
"ap01","14","c","match",1,0.6501064,"adapt"
"ap01","15","i","mismatch",1,0.4717543,"adapt"
"ap01","16","c","match",1,0.4890535,"adapt"
"ap01","17","filler","match",1,0.594461,"adapt"
"ap01","18","i","match",1,0.6306162,"adapt"
"ap01","19","i","match",1,0.5293727,"adapt"
"ap01","20","c","match",1,0.6267208,"adapt"
"ap01","21","filler","match",1,0.748972,"adapt"
"ap01","22","c","mismatch",1,0.686099,"adapt"
"ap01","23","c","mismatch",1,0.5611092,"adapt"
"ap01","24","i","match",1,0.4731448,"adapt"
"ap01","25","c","mismatch",1,0.7241596,"adapt"
"ap01","26","i","mismatch",1,0.7601404,"adapt"
"ap01","27","c","mismatch",1,0.5840936,"adapt"
"ap01","28","i","mismatch",1,0.7001276,"adapt"
"ap01","29","i","match",1,0.6028933,"adapt"
"ap01","30","c","match",1,0.494127,"adapt"
"ap01","31","i","match",1,0.671538,"adapt"
"ap01","32","c","mismatch",1,0.5360312,"adapt"
"ap01","33","i","mismatch",1,0.7587371,"adapt"
"ap01","34","i","mismatch",1,0.7237486,"adapt"
"ap01","35","i","mismatch",1,0.541601,"adapt"
"ap01","36","c","mismatch",1,0.4691202,"adapt"
"ap01","37","i","mismatch",1,0.529197,"adapt"
"ap01","38","i","mismatch",1,0.6510902,"adapt"
"ap01","39","i","mismatch",1,0.5769206,"adapt"
"ap01","40","c","mismatch",1,0.5788561,"adapt"
"ap01","41","c","match",1,0.6614425,"adapt"
"ap01","42","c","match",1,0.5126537,"adapt"
"ap01","43","i","match",1,0.4228168,"adapt"
"ap01","44","c","mismatch",1,0.5326,"adapt"
"ap01","45","c","mismatch",1,0.5667654,"adapt"
"ap01","46","i","match",1,0.7294835,"adapt"
"ap01","47","c","match",1,0.6224529,"adapt"
"ap01","48","i","match",1,0.6093977,"adapt"
"ap01","49","c","match",1,0.4844226,"adapt"
"ap01","50","i","mismatch",1,0.4765611,"adapt"
"ap01","51","c","mismatch",1,0.7434914,"adapt"
"ap01","52","filler","mismatch",1,0.4441032,"adapt"
"ap01","53","c","match",1,0.450276,"adapt"
"ap01","54","c","match",1,0.5530044,"adapt"
"ap01","55","i","mismatch",1,0.4996524,"adapt"
"ap01","56","i","mismatch",1,0.5644687,"adapt"
"ap01","57","i","match",1,1.0610451,"adapt"
"ap01","58","c","match",1,0.4199839,"adapt"
"ap01","59","i","match",1,0.6740238,"adapt"
"ap01","60","i","match",1,0.4506963,"adapt"
"ap01","61","filler","mismatch",1,0.4535476,"adapt"
"ap01","62","c","match",1,0.4862054,"adapt"
"ap01","63","i","match",1,0.4667144,"adapt"
"ap01","64","i","mismatch",1,0.4396623,"adapt"
"ap01","65","filler","match",1,0.6680459,"adapt"
"ap01","66","i","match",1,0.4735291,"adapt"
"ap01","67","c","match",1,0.3729793,"adapt"
"ap01","68","c","match",1,0.6399026,"adapt"
"ap01","69","i","match",1,0.4140208,"adapt"
"ap01","70","i","mismatch",1,0.4649818,"adapt"
"ap01","71","c","match",1,0.3851224,"adapt"
"ap01","72","c","mismatch",1,0.4834582,"adapt"
"ap01","73","i","mismatch",1,0.5168177,"adapt"
"ap01","74","i","mismatch",1,0.5047663,"adapt"
"ap01","75","i","match",1,0.5404934,"adapt"
"ap01","76","c","mismatch",1,0.3901946,"adapt"
"ap01","77","c","mismatch",1,0.6209537,"adapt"
"ap01","78","filler","match",1,0.4330875,"adapt"
"ap01","79","i","match",1,0.474139,"adapt"
"ap01","80","i","mismatch",1,0.4288822,"adapt"
"ap01","81","i","mismatch",1,0.315422,"adapt"
"ap01","82","c","mismatch",1,0.500248,"adapt"
"ap01","83","c","mismatch",1,0.4117949,"adapt"
"ap01","84","i","match",1,0.3979856,"adapt"
"ap01","85","c","mismatch",1,0.4762106,"adapt"
"ap01","86","c","match",1,0.5426618,"adapt"
"ap01","87","i","mismatch",1,0.4556515,"adapt"
"ap01","88","filler","mismatch",1,0.3998819,"adapt"
"ap01","89","c","match",1,0.5816048,"adapt"
"ap01","90","c","mismatch",1,0.4928669,"adapt"
"ap01","91","i","match",1,0.3996955,"adapt"
"ap01","92","i","mismatch",1,0.3773085,"adapt"
"ap01","93","c","match",1,0.4217971,"adapt"
"ap01","94","c","mismatch",1,0.4217427,"adapt"
"ap01","95","i","match",1,0.434402,"adapt"
"ap01","96","i","mismatch",1,0.3886808,"adapt"
"ap01","97","c","mismatch",1,0.5372665,"adapt"
"ap01","98","c","mismatch",1,0.5277675,"adapt"
"ap01","99","c","mismatch",1,0.4352712,"adapt"
"ap01","100","i","mismatch",1,0.3836395,"adapt"
"ap01","101","i","match",1,0.3783726,"adapt"
"ap01","102","c","match",1,0.4930419,"adapt"
"ap01","103","c","mismatch",1,0.5135581,"adapt"
"ap01","104","c","match",1,0.4812216,"adapt"
"ap01","105","i","match",1,1.226761029,"baseline"
"ap01","106","i","match",1,1.023681858,"baseline"
"ap01","107","c","match",1,1.272529104,"baseline"
"ap01","108","c","match",1,1.172550626,"baseline"
"ap01","109","i","mismatch",1,1.276000204,"baseline"
"ap01","110","i","match",1,1.148730188,"baseline"
"ap01","111","c","match",1,1.023055829,"baseline"
"ap01","112","filler","mismatch",1,1.189898574,"baseline"
"ap01","113","c","mismatch",1,1.277532049,"baseline"
"ap01","114","c","match",1,0.887936664,"baseline"
"ap01","115","i","match",1,0.736822801,"baseline"
"ap01","116","c","mismatch",1,0.934379098,"baseline"
"ap01","117","i","mismatch",1,1.723462483,"baseline"
"ap01","118","c","match",1,1.409025683,"baseline"
"ap01","119","i","mismatch",1,1.556035998,"baseline"
"ap01","120","c","match",1,0.752656273,"baseline"
"ap01","121","filler","match",0,1.02041956,"baseline"
"ap01","122","i","match",1,1.039493807,"baseline"
"ap01","123","i","match",1,1.027924733,"baseline"
"ap01","124","c","match",1,0.495656681,"baseline"
"ap01","125","filler","match",1,0.702886219,"baseline"
"ap01","126","c","mismatch",1,1.100978304,"baseline"
"ap01","127","c","mismatch",1,1.514764155,"baseline"
"ap01","128","i","match",1,1.383389082,"baseline"
"ap01","129","c","mismatch",1,0.908744385,"baseline"
"ap01","130","i","mismatch",1,0.486463344,"baseline"
"ap01","131","c","mismatch",1,0.64091049,"baseline"
"ap01","132","i","mismatch",1,0.573723769,"baseline"
"ap01","133","i","match",1,0.62820301,"baseline"
"ap01","134","c","match",1,0.509163122,"baseline"
"ap01","135","i","match",1,0.511359887,"baseline"
"ap01","136","c","mismatch",1,1.362332913,"baseline"
"ap01","137","i","mismatch",1,0.984795947,"baseline"
"ap01","138","i","mismatch",1,0.45972534,"baseline"
"ap01","139","i","mismatch",1,0.444442003,"baseline"
"ap01","140","c","mismatch",1,0.741115517,"baseline"
"ap01","141","i","mismatch",1,0.671136586,"baseline"
"ap01","142","i","mismatch",1,0.685844867,"baseline"
"ap01","143","i","mismatch",1,1.300694741,"baseline"
"ap01","144","c","mismatch",1,0.740196485,"baseline"
"ap01","145","c","match",1,0.791754006,"baseline"
"ap01","146","c","match",1,1.023793244,"baseline"
"ap01","147","i","match",1,0.427414999,"baseline"
"ap01","148","c","mismatch",1,0.580034654,"baseline"
"ap01","149","c","mismatch",1,0.524514801,"baseline"
"ap01","150","i","match",1,0.874842918,"baseline"
"ap01","151","c","match",1,0.476917725,"baseline"
"ap01","152","i","match",1,0.992382678,"baseline"
"ap01","153","c","match",1,1.058863701,"baseline"
"ap01","154","i","mismatch",1,0.546251748,"baseline"
"ap01","155","c","mismatch",1,0.684617729,"baseline"
"ap01","156","filler","mismatch",1,0.992926772,"baseline"
"ap02","1","i","match",1,0.4297791,"adapt"
"ap02","2","i","match",1,0.3954392,"adapt"
"ap02","3","c","match",1,0.387212,"adapt"
"ap02","4","c","match",1,0.4455947,"adapt"
"ap02","5","i","mismatch",1,0.4946638,"adapt"
"ap02","6","i","match",1,0.6031177,"adapt"
"ap02","7","c","match",1,0.4355114,"adapt"
"ap02","8","filler","mismatch",1,0.5701542,"adapt"
"ap02","9","c","mismatch",1,0.486445,"adapt"
"ap02","10","c","match",1,0.6188676,"adapt"
"ap02","11","i","match",1,0.4688797,"adapt"
"ap02","12","c","mismatch",1,0.6356132,"adapt"
"ap02","13","i","mismatch",1,0.4973059,"adapt"
"ap02","14","c","match",1,0.388109,"adapt"
"ap02","15","i","mismatch",1,0.4409311,"adapt"
"ap02","16","c","match",1,0.6329173,"adapt"
"ap02","17","filler","match",1,0.6060686,"adapt"
"ap02","18","i","match",1,0.4607758,"adapt"
"ap02","19","i","match",1,0.6164747,"adapt"
"ap02","20","c","match",1,0.5620241,"adapt"
"ap02","21","filler","match",1,0.5521356,"adapt"
"ap02","22","c","mismatch",1,0.4921878,"adapt"
"ap02","23","c","mismatch",1,0.470013,"adapt"
"ap02","24","i","match",1,0.469194,"adapt"
"ap02","25","c","mismatch",1,0.4324645,"adapt"
"ap02","26","i","mismatch",1,0.4584496,"adapt"
"ap02","27","c","mismatch",1,0.6159344,"adapt"
"ap02","28","i","mismatch",1,0.4490796,"adapt"
"ap02","29","i","match",1,0.519831,"adapt"
"ap02","30","c","match",1,0.6049407,"adapt"
"ap02","31","i","match",1,0.668896,"adapt"
"ap02","32","c","mismatch",1,0.5675338,"adapt"
"ap02","33","i","mismatch",1,0.4472433,"adapt"
"ap02","34","i","mismatch",1,0.3947695,"adapt"
"ap02","35","i","mismatch",1,0.6483112,"adapt"
"ap02","36","c","mismatch",1,0.7707577,"adapt"
"ap02","37","i","mismatch",1,0.4434984,"adapt"
"ap02","38","i","mismatch",1,0.49266,"adapt"
"ap02","39","i","mismatch",1,0.8760541,"adapt"
"ap02","40","c","mismatch",1,0.5577442,"adapt"
"ap02","41","c","match",1,0.3567758,"adapt"
"ap02","42","c","match",1,0.5618421,"adapt"
"ap02","43","i","match",1,0.5578602,"adapt"
"ap02","44","c","mismatch",1,0.4692247,"adapt"
"ap02","45","c","mismatch",1,0.6110318,"adapt"
"ap02","46","i","match",1,0.7087026,"adapt"
"ap02","47","c","match",1,0.574786,"adapt"
"ap02","48","i","match",1,0.638866,"adapt"
"ap02","49","c","match",1,0.3727168,"adapt"
"ap02","50","i","mismatch",1,0.3896715,"adapt"
"ap02","51","c","mismatch",1,0.5124909,"adapt"
"ap02","52","filler","mismatch",1,0.6009917,"adapt"
"ap02","53","c","match",1,0.4049912,"adapt"
"ap02","54","c","match",1,0.3753272,"adapt"
"ap02","55","i","mismatch",1,0.5218737,"adapt"
"ap02","56","i","mismatch",1,0.4718552,"adapt"
"ap02","57","i","match",1,0.6927737,"adapt"
"ap02","58","c","match",1,0.5083494,"adapt"
"ap02","59","i","match",1,0.5777929,"adapt"
"ap02","60","i","match",1,0.3649036,"adapt"
"ap02","61","filler","mismatch",1,0.4197816,"adapt"
"ap02","62","c","match",1,0.3747799,"adapt"
"ap02","63","i","match",1,0.3495282,"adapt"
"ap02","64","i","mismatch",1,0.5592144,"adapt"
"ap02","65","filler","match",0,0.5422506,"adapt"
"ap02","66","i","match",1,0.3985078,"adapt"
"ap02","67","c","match",1,0.5133612,"adapt"
"ap02","68","c","match",1,0.4595801,"adapt"
"ap02","69","i","match",1,0.387049,"adapt"
"ap02","70","i","mismatch",1,0.464343,"adapt"
"ap02","71","c","match",1,0.4993621,"adapt"
"ap02","72","c","mismatch",1,0.5716247,"adapt"
"ap02","73","i","mismatch",1,0.6147088,"adapt"
"ap02","74","i","mismatch",1,0.6508612,"adapt"
"ap02","75","i","match",1,0.410436,"adapt"
"ap02","76","c","mismatch",1,0.4406484,"adapt"
"ap02","77","c","mismatch",1,0.4674239,"adapt"
"ap02","78","filler","match",1,0.7496245,"adapt"
"ap02","79","i","match",1,0.3884563,"adapt"
"ap02","80","i","mismatch",1,0.40672,"adapt"
"ap02","81","i","mismatch",1,0.4527405,"adapt"
"ap02","82","c","mismatch",1,0.4896523,"adapt"
"ap02","83","c","mismatch",1,0.5891456,"adapt"
"ap02","84","i","match",1,0.3763315,"adapt"
"ap02","85","c","mismatch",1,0.6420289,"adapt"
"ap02","86","c","match",1,0.4696636,"adapt"
"ap02","87","i","mismatch",1,0.6411612,"adapt"
"ap02","88","filler","mismatch",1,0.6123804,"adapt"
"ap02","89","c","match",1,0.815593,"adapt"
"ap02","90","c","mismatch",1,0.5857501,"adapt"
"ap02","91","i","match",1,0.3328061,"adapt"
"ap02","92","i","mismatch",1,0.9669485,"adapt"
"ap02","93","c","match",1,0.4860703,"adapt"
"ap02","94","c","mismatch",1,0.4050926,"adapt"
"ap02","95","i","match",1,0.4269369,"adapt"
"ap02","96","i","mismatch",1,0.4094715,"adapt"
"ap02","97","c","mismatch",1,0.4281506,"adapt"
"ap02","98","c","mismatch",1,0.4828793,"adapt"
"ap02","99","c","mismatch",1,0.4460514,"adapt"
"ap02","100","i","mismatch",1,0.4511923,"adapt"
"ap02","101","i","match",1,0.546294,"adapt"
"ap02","102","c","match",1,0.6077776,"adapt"
"ap02","103","c","mismatch",1,0.5221534,"adapt"
"ap02","104","c","match",1,0.4208761,"adapt"
"ap02","105","i","match",1,0.351502,"baseline"
"ap02","106","i","match",1,0.3855482,"baseline"
"ap02","107","c","match",1,0.3820807,"baseline"
"ap02","108","c","match",1,0.6375856,"baseline"
"ap02","109","i","mismatch",1,0.9181375,"baseline"
"ap02","110","i","match",1,0.6033133,"baseline"
"ap02","111","c","match",1,0.4390349,"baseline"
"ap02","112","filler","mismatch",0,0.3553708,"baseline"
"ap02","113","c","mismatch",1,0.390978,"baseline"
"ap02","114","c","match",1,0.6423463,"baseline"
"ap02","115","i","match",1,0.476525,"baseline"
"ap02","116","c","mismatch",1,0.4127499,"baseline"
"ap02","117","i","mismatch",1,0.4274392,"baseline"
"ap02","118","c","match",1,0.4623249,"baseline"
"ap02","119","i","mismatch",1,0.3077629,"baseline"
"ap02","120","c","match",1,0.7052924,"baseline"
"ap02","121","filler","match",1,0.7358455,"baseline"
"ap02","122","i","match",1,0.4242443,"baseline"
"ap02","123","i","match",1,0.3772916,"baseline"
"ap02","124","c","match",1,0.4049984,"baseline"
"ap02","125","filler","match",0,0.35156,"baseline"
"ap02","126","c","mismatch",1,0.3804262,"baseline"
"ap02","127","c","mismatch",1,0.460673,"baseline"
"ap02","128","i","match",1,0.3631446,"baseline"
"ap02","129","c","mismatch",1,0.461658,"baseline"
"ap02","130","i","mismatch",1,0.5333642,"baseline"
"ap02","131","c","mismatch",1,0.4567725,"baseline"
"ap02","132","i","mismatch",1,0.4010062,"baseline"
"ap02","133","i","match",1,0.5542548,"baseline"
"ap02","134","c","match",1,0.428408,"baseline"
"ap02","135","i","match",1,0.6585648,"baseline"
"ap02","136","c","mismatch",1,0.4306674,"baseline"
"ap02","137","i","mismatch",1,0.3882386,"baseline"
"ap02","138","i","mismatch",1,0.3297071,"baseline"
"ap02","139","i","mismatch",1,0.5803508,"baseline"
"ap02","140","c","mismatch",1,0.5383705,"baseline"
"ap02","141","i","mismatch",1,0.3646414,"baseline"
"ap02","142","i","mismatch",1,0.4161756,"baseline"
"ap02","143","i","mismatch",1,0.5311224,"baseline"
"ap02","144","c","mismatch",1,0.5451568,"baseline"
"ap02","145","c","match",1,0.3516087,"baseline"
"ap02","146","c","match",1,0.331841,"baseline"
"ap02","147","i","match",1,0.3204447,"baseline"
"ap02","148","c","mismatch",1,0.3978929,"baseline"
"ap02","149","c","mismatch",1,0.3804838,"baseline"
"ap02","150","i","match",1,0.3360954,"baseline"
"ap02","151","c","match",1,0.3893275,"baseline"
"ap02","152","i","match",1,0.3316969,"baseline"
"ap02","153","c","match",1,0.4283193,"baseline"
"ap02","154","i","mismatch",1,0.458011,"baseline"
"ap02","155","c","mismatch",1,0.4436676,"baseline"
"ap02","156","filler","mismatch",1,0.5915202,"baseline"
"ap02","157","c","match",1,0.3875387,"baseline"
"ap02","158","c","match",1,0.4777687,"baseline"
"ap02","159","i","mismatch",1,0.517859,"baseline"
"ap02","160","i","mismatch",1,0.4513443,"baseline"
"ap02","161","i","match",1,0.4609158,"baseline"
"ap02","162","c","match",1,0.4748411,"baseline"
"ap02","163","i","match",1,0.3520823,"baseline"
"ap02","164","i","match",1,0.4147173,"baseline"
"ap02","165","filler","mismatch",1,0.4431709,"baseline"
"ap02","166","c","match",1,0.4869394,"baseline"
"ap02","167","i","match",1,0.4982411,"baseline"
"ap02","168","i","mismatch",1,0.6253389,"baseline"
"ap02","169","filler","match",1,0.4038925,"baseline"
"ap02","170","i","match",1,0.3492192,"baseline"
"ap02","171","c","match",1,0.4156057,"baseline"
"ap02","172","c","match",1,0.4706425,"baseline"
"ap02","173","i","match",1,0.4215633,"baseline"
"ap02","174","i","mismatch",1,0.3410263,"baseline"
"ap02","175","c","match",1,0.3777823,"baseline"
"ap02","176","c","mismatch",1,0.4315688,"baseline"
"ap02","177","i","mismatch",1,0.4000829,"baseline"
"ap02","178","i","mismatch",1,0.3908076,"baseline"
"ap02","179","i","match",1,0.4537608,"baseline"
"ap02","180","c","mismatch",1,0.6133753,"baseline"
"ap02","181","c","mismatch",1,0.6282889,"baseline"
"ap02","182","filler","match",1,0.389937,"baseline"
"ap02","183","i","match",1,0.4644822,"baseline"
"ap02","184","i","mismatch",1,0.4129036,"baseline"
"ap02","185","i","mismatch",1,0.2950949,"baseline"
"ap02","186","c","mismatch",1,0.3999064,"baseline"
"ap02","187","c","mismatch",1,0.4591279,"baseline"
"ap02","188","i","match",1,0.5705309,"baseline"
"ap02","189","c","mismatch",1,0.7017636,"baseline"
"ap02","190","c","match",1,0.3415972,"baseline"
"ap02","191","i","mismatch",1,0.4236068,"baseline"
"ap02","192","filler","mismatch",1,0.495644,"baseline"
"ap02","193","c","match",1,0.3110384,"baseline"
"ap02","194","c","mismatch",1,0.480868,"baseline"
"ap02","195","i","match",1,0.380983,"baseline"
"ap02","196","i","mismatch",1,0.5799492,"baseline"
"ap02","197","c","match",1,0.8211805,"baseline"
"ap02","198","c","mismatch",1,0.4902125,"baseline"
"ap02","199","i","match",1,0.5970229,"baseline"
"ap02","200","i","mismatch",1,0.4318737,"baseline"
"ap02","201","c","mismatch",1,0.4193675,"baseline"
"ap02","202","c","mismatch",1,0.5121274,"baseline"
"ap02","203","c","mismatch",1,0.5543846,"baseline"
"ap02","204","i","mismatch",1,0.4621994,"baseline"
"ap02","205","i","match",1,0.4041513,"baseline"
"ap02","206","c","match",1,0.3971819,"baseline"
"ap02","207","c","mismatch",1,0.6314693,"baseline"
"ap02","208","c","match",1,0.3945607,"baseline"
"ap03","1","i","match",0,0.8837838,"adapt"
"ap03","2","i","match",1,0.5760861,"adapt"
"ap03","3","c","match",1,1.1767537,"adapt"
"ap03","4","c","match",1,0.7462724,"adapt"
"ap03","5","i","mismatch",1,0.7883706,"adapt"
"ap03","6","i","match",1,0.5937776,"adapt"
"ap03","7","c","match",1,1.0838903,"adapt"
"ap03","8","filler","mismatch",1,0.7658998,"adapt"
"ap03","9","c","mismatch",1,0.6679052,"adapt"
"ap03","10","c","match",1,0.5697921,"adapt"
"ap03","11","i","match",1,0.8187943,"adapt"
"ap03","12","c","mismatch",1,0.6942308,"adapt"
"ap03","13","i","mismatch",0,0.9408466,"adapt"
"ap03","14","c","match",1,0.951014,"adapt"
"ap03","15","i","mismatch",1,0.6843112,"adapt"
"ap03","16","c","match",1,0.8329693,"adapt"
"ap03","17","filler","match",1,0.8825993,"adapt"
"ap03","18","i","match",1,0.9651375,"adapt"
"ap03","19","i","match",1,0.632961,"adapt"
"ap03","20","c","match",1,0.556425,"adapt"
"ap03","21","filler","match",0,0.9172363,"adapt"
"ap03","22","c","mismatch",1,0.7743211,"adapt"
"ap03","23","c","mismatch",1,0.6496933,"adapt"
"ap03","24","i","match",1,0.6522411,"adapt"
"ap03","25","c","mismatch",1,0.9437546,"adapt"
"ap03","26","i","mismatch",1,0.8352513,"adapt"
"ap03","27","c","mismatch",1,0.9286647,"adapt"
"ap03","28","i","mismatch",1,0.7115773,"adapt"
"ap03","29","i","match",1,0.5859724,"adapt"
"ap03","30","c","match",1,0.657159,"adapt"
"ap03","31","i","match",1,0.5693589,"adapt"
"ap03","32","c","mismatch",1,0.5570979,"adapt"
"ap03","33","i","mismatch",1,0.7751507,"adapt"
"ap03","34","i","mismatch",1,1.6349404,"adapt"
"ap03","35","i","mismatch",1,0.9239417,"adapt"
"ap03","36","c","mismatch",1,0.6292189,"adapt"
"ap03","37","i","mismatch",1,0.6012805,"adapt"
"ap03","38","i","mismatch",1,0.6087488,"adapt"
"ap03","39","i","mismatch",1,0.6470964,"adapt"
"ap03","40","c","mismatch",1,0.6918945,"adapt"
"ap03","41","c","match",1,0.6438199,"adapt"
"ap03","42","c","match",1,0.744979,"adapt"
"ap03","43","i","match",1,0.5529738,"adapt"
"ap03","44","c","mismatch",1,0.7335421,"adapt"
"ap03","45","c","mismatch",1,0.6834726,"adapt"
"ap03","46","i","match",1,0.5131917,"adapt"
"ap03","47","c","match",1,0.683698,"adapt"
"ap03","48","i","match",1,0.6127216,"adapt"
"ap03","49","c","match",1,0.5209812,"adapt"
"ap03","50","i","mismatch",1,0.6635401,"adapt"
"ap03","51","c","mismatch",1,0.7303914,"adapt"
"ap03","52","filler","mismatch",1,0.6924402,"adapt"
"ap03","53","c","match",1,0.5666529,"adapt"
"ap03","54","c","match",1,0.7041569,"adapt"
"ap03","55","i","mismatch",1,0.6054454,"adapt"
"ap03","56","i","mismatch",1,0.6438981,"adapt"
"ap03","57","i","match",1,0.9680866,"adapt"
"ap03","58","c","match",1,0.5675954,"adapt"
"ap03","59","i","match",1,0.6514149,"adapt"
"ap03","60","i","match",1,0.6829106,"adapt"
"ap03","61","filler","mismatch",1,0.599869,"adapt"
"ap03","62","c","match",1,0.660172,"adapt"
"ap03","63","i","match",1,1.2689861,"adapt"
"ap03","64","i","mismatch",1,0.5896131,"adapt"
"ap03","65","filler","match",0,0.5211783,"adapt"
"ap03","66","i","match",1,0.6593136,"adapt"
"ap03","67","c","match",1,0.6129068,"adapt"
"ap03","68","c","match",1,0.6639019,"adapt"
"ap03","69","i","match",1,0.5365241,"adapt"
"ap03","70","i","mismatch",1,0.8019622,"adapt"
"ap03","71","c","match",1,0.4893108,"adapt"
"ap03","72","c","mismatch",1,1.0827965,"adapt"
"ap03","73","i","mismatch",1,0.7866961,"adapt"
"ap03","74","i","mismatch",1,0.721568,"adapt"
"ap03","75","i","match",1,0.5102227,"adapt"
"ap03","76","c","mismatch",1,0.572589,"adapt"
"ap03","77","c","mismatch",0,0.4331646,"adapt"
"ap03","78","filler","match",0,0.7540214,"adapt"
"ap03","79","i","match",1,0.6658941,"adapt"
"ap03","80","i","mismatch",1,0.9624964,"adapt"
"ap03","81","i","mismatch",1,0.6957805,"adapt"
"ap03","82","c","mismatch",1,0.6498725,"adapt"
"ap03","83","c","mismatch",1,0.8160921,"adapt"
"ap03","84","i","match",1,0.5971094,"adapt"
"ap03","85","c","mismatch",1,0.9689019,"adapt"
"ap03","86","c","match",1,0.7990326,"adapt"
"ap03","87","i","mismatch",1,0.6462183,"adapt"
"ap03","88","filler","mismatch",1,0.625366,"adapt"
"ap03","89","c","match",1,0.6540022,"adapt"
"ap03","90","c","mismatch",1,0.6101873,"adapt"
"ap03","91","i","match",1,0.6910078,"adapt"
"ap03","92","i","mismatch",1,0.6267014,"adapt"
"ap03","93","c","match",1,0.5184348,"adapt"
"ap03","94","c","mismatch",1,0.654101,"adapt"
"ap03","95","i","match",1,0.6561781,"adapt"
"ap03","96","i","mismatch",1,0.5291918,"adapt"
"ap03","97","c","mismatch",1,0.6701234,"adapt"
"ap03","98","c","mismatch",1,0.7124439,"adapt"
"ap03","99","c","mismatch",1,0.6139063,"adapt"
"ap03","100","i","mismatch",1,0.9391424,"adapt"
"ap03","101","i","match",1,0.645174,"adapt"
"ap03","102","c","match",1,0.6966965,"adapt"
"ap03","103","c","mismatch",1,0.6007644,"adapt"
"ap03","104","c","match",1,0.5108729,"adapt"
"ap03","105","i","match",1,0.65857,"baseline"
"ap03","106","i","match",1,0.8633009,"baseline"
"ap03","107","c","match",1,0.5772827,"baseline"
"ap03","108","c","match",1,0.68097,"baseline"
"ap03","109","i","mismatch",1,0.6450523,"baseline"
"ap03","110","i","match",1,0.6517426,"baseline"
"ap03","111","c","match",1,0.6204133,"baseline"
"ap03","112","filler","mismatch",1,1.6183723,"baseline"
"ap03","113","c","mismatch",1,0.7082741,"baseline"
"ap03","114","c","match",1,0.9148555,"baseline"
"ap03","115","i","match",0,0.5525671,"baseline"
"ap03","116","c","mismatch",1,0.5871123,"baseline"
"ap03","117","i","mismatch",1,0.5989057,"baseline"
"ap03","118","c","match",1,0.8295614,"baseline"
"ap03","119","i","mismatch",1,0.5573415,"baseline"
"ap03","120","c","match",1,0.6642806,"baseline"
"ap03","121","filler","match",1,1.0675008,"baseline"
"ap03","122","i","match",1,0.6784471,"baseline"
"ap03","123","i","match",1,0.984407,"baseline"
"ap03","124","c","match",1,0.6064151,"baseline"
"ap03","125","filler","match",1,0.7840616,"baseline"
"ap03","126","c","mismatch",1,0.6176783,"baseline"
"ap03","127","c","mismatch",1,1.0597057,"baseline"
"ap03","128","i","match",1,0.7928384,"baseline"
"ap03","129","c","mismatch",1,1.0195684,"baseline"
"ap03","130","i","mismatch",1,1.0266843,"baseline"
"ap03","131","c","mismatch",1,0.7350245,"baseline"
"ap03","132","i","mismatch",1,1.0484028,"baseline"
"ap03","133","i","match",1,0.5565719,"baseline"
"ap03","134","c","match",1,0.6058829,"baseline"
"ap03","135","i","match",1,0.8306836,"baseline"
"ap03","136","c","mismatch",1,0.5932473,"baseline"
"ap03","137","i","mismatch",1,0.7053316,"baseline"
"ap03","138","i","mismatch",1,0.858462,"baseline"
"ap03","139","i","mismatch",1,0.6989852,"baseline"
"ap03","140","c","mismatch",1,0.7928765,"baseline"
"ap03","141","i","mismatch",1,1.0335801,"baseline"
"ap03","142","i","mismatch",1,0.8828385,"baseline"
"ap03","143","i","mismatch",1,0.6706081,"baseline"
"ap03","144","c","mismatch",1,0.6801925,"baseline"
"ap03","145","c","match",1,0.7360099,"baseline"
"ap03","146","c","match",1,0.6175508,"baseline"
"ap03","147","i","match",1,0.5686347,"baseline"
"ap03","148","c","mismatch",1,0.6684116,"baseline"
"ap03","149","c","mismatch",1,0.7742285,"baseline"
"ap03","150","i","match",1,0.6110805,"baseline"
"ap03","151","c","match",1,0.6223193,"baseline"
"ap03","152","i","match",1,0.5924716,"baseline"
"ap03","153","c","match",1,0.5113748,"baseline"
"ap03","154","i","mismatch",1,0.869985,"baseline"
"ap03","155","c","mismatch",1,0.7949674,"baseline"
"ap03","156","filler","mismatch",1,0.9723106,"baseline"
"ap03","157","c","match",0,0.4674984,"baseline"
"ap03","158","c","match",1,0.5024037,"baseline"
"ap03","159","i","mismatch",1,0.6297397,"baseline"
"ap03","160","i","mismatch",1,0.6990159,"baseline"
"ap03","161","i","match",1,0.5667772,"baseline"
"ap03","162","c","match",1,0.5322593,"baseline"
"ap03","163","i","match",1,0.5292301,"baseline"
